user_id,first_approved_day,s2_approved_contracts,s2_total_usdt,s1_usdt_requests,is_completely_new,수집시각(KST)
beb5634d-5da3-432c-9fd0-a757242ddecf,2026-06-29,3,2240,139,0,2026-07-08 05:04:24
beccf260-29fd-4d17-9a3c-85b304ff811d,2026-06-29,4,3540,85,0,2026-07-08 05:04:24
c6879468-77f3-4e58-8788-71f253bbdd4d,2026-06-29,15,92700,403,0,2026-07-08 05:04:24
c8c771c4-a9fd-4c12-ac7f-1d8323450fc5,2026-06-29,2,2040,36,0,2026-07-08 05:04:24
ca698fec-e217-424f-be8b-29a20344169c,2026-06-29,3,30360,144,0,2026-07-08 05:04:24
cc86544f-00fb-4f5c-86ed-ea4525661234,2026-06-29,3,4040,75,0,2026-07-08 05:04:24
d0820e54-7a36-45f6-884a-4ff1b88fc921,2026-06-29,4,3560,13,0,2026-07-08 05:04:24
d3b7aea5-a3dc-4a35-8603-3db63cd77710,2026-06-29,3,3040,28,0,2026-07-08 05:04:24
d5de4b63-60a5-4769-b9d8-3b85dbea3dd2,2026-06-29,3,2140,39,0,2026-07-08 05:04:24
de477b0a-6359-46ea-8d52-db4c7cc1c18b,2026-06-29,6,4740,87,0,2026-07-08 05:04:24
de99a761-85d8-4497-896a-9b8186d1e673,2026-06-29,3,2240,892,0,2026-07-08 05:04:24
e2765948-046b-43c8-a2a9-a8b426225c8b,2026-06-29,12,29480,215,0,2026-07-08 05:04:24
e29f2f3c-c960-4a4b-bb17-3f2884f7aa4c,2026-06-29,2,2040,15,0,2026-07-08 05:04:24
e4b2e3c0-ca4e-42a7-a48e-e1c01d681ee1,2026-06-29,4,3240,749,0,2026-07-08 05:04:24
eaa644c2-3948-4f24-abce-fc7b6d163327,2026-06-29,6,18280,207,0,2026-07-08 05:04:24
eb03fb90-e55e-490c-8b6c-9ef08f1e6d69,2026-06-29,4,4260,170,0,2026-07-08 05:04:24
efeca71a-ced9-4d3d-bb52-e09e72771895,2026-06-29,2,2040,37,0,2026-07-08 05:04:24
f3738d79-2608-41e7-bd8a-96e6b9b23dce,2026-06-29,9,6460,98,0,2026-07-08 05:04:24
fa29fa6b-bceb-49bd-9c87-201f38484a53,2026-06-29,3,3040,34,0,2026-07-08 05:04:24
fb2097fa-eb9d-4d77-b45c-1e98c56f4d32,2026-06-29,3,2300,39,0,2026-07-08 05:04:24
fff25144-97fb-4bde-9c48-58e8f8e64a42,2026-06-29,15,9400,743,0,2026-07-08 05:04:24
026cb1c3-a2c4-4522-9515-3c6326d1729f,2026-06-30,3,3500,14,0,2026-07-08 05:04:24
03340e51-4a68-4e48-b06d-e155793f81b9,2026-06-30,2,2040,35,0,2026-07-08 05:04:24
03595237-0c73-4e62-bcb6-4623960f46c7,2026-06-30,1,2000,8,0,2026-07-08 05:04:24
049a06ae-2281-44db-a84a-f1ee9f734478,2026-06-30,5,7600,3,0,2026-07-08 05:04:24
06b031c4-b609-4a81-89b8-9e069ac0be19,2026-06-30,2,2040,96,0,2026-07-08 05:04:24
0cacd3b0-1ae8-470c-aeae-da6d1e189bc5,2026-06-30,3,2540,66,0,2026-07-08 05:04:24
10c079e4-32cb-42d7-bedb-a89c10c3c2a4,2026-06-30,4,17100,92,0,2026-07-08 05:04:24
14505910-a2b5-4899-97df-452130102d99,2026-06-30,4,8340,21,0,2026-07-08 05:04:24
1d801e72-a9c3-465e-b819-6d6145d31dd6,2026-06-30,4,2940,40,0,2026-07-08 05:04:24
20034fcd-14a7-47ec-857d-01b89f7cf6bc,2026-06-30,2,2300,129,0,2026-07-08 05:04:24
29161790-e9f8-4773-a8b5-a478eb75e3c1,2026-06-30,3,2540,29,0,2026-07-08 05:04:24
307177cf-4caf-4c6d-a189-fe041bfdea17,2026-06-30,4,3540,404,0,2026-07-08 05:04:24
398bd1a3-85eb-452d-a6d1-ef916ea83b7a,2026-06-30,2,2040,62,0,2026-07-08 05:04:24
3d1afeb7-d101-4b98-8e8c-fc763906c71d,2026-06-30,1,12000,3,0,2026-07-08 05:04:24
416ce837-f3af-4c6d-80ee-acd48321bb38,2026-06-30,2,7500,15,0,2026-07-08 05:04:24
43296974-811b-4114-adeb-d511dfebb0d7,2026-06-30,1,2000,5,0,2026-07-08 05:04:24
